Barrientos, Hugo ;3;1;1
Brau, Mariano;2;1;1
Cambiasso, Nicolás;1;1;1
Casteglione, Carlos ;2;1;1
Di Grazia, Lucas ;1;1;1
Domínguez, Eduardo ;2;1;1
Ereros, Sebastián ;4;1;1
Fabbiani, Cristian ;4;1;1
Ferrari, Jonathan ;2;1;1
Giordano, Matías;1;1;1
Grazzini, Sebastián ;3;2;1
Madeo, Carlos;2;1;1
Matos, Mauro;4;1;1
Panceri, Armando ;2;1;1
Perea, Emanuel ;3;1;1
Pérez García, Matías;3;1;1
Prol, Mauricio;3;1;1
Rimoldi, Lucas ;3;1;1
Rodríguez, Juan Pablo;3;1;1
Rudler, Matías;2;1;1
Saad, Matías;4;1;1
Sánchez, Fernando ;3;1;1
Soto, Carlos ;2;1;1
Tessoro, Facundo;3;1;1
Torassa, Agustín ;4;1;1
Vella, Cristian;2;1;1
Vieytes, Marcelo ;2;1;1
Zárate, Ariel ;3;1;1
Frandiño, Gabriel ;1;1;2
Navarro, Nicolás;1;2;2
Ojeda, Luis ;1;1;2
Berardo, Nicolás ;2;1;2
Domínguez, Federico ;2;1;2
Escudero, Sergio ;2;2;2
Fernández, Julián ;2;1;2
Franco, Daniel ;2;1;2
Gentiletti, Santiago;2;1;2
Prósperi, Gonzalo ;2;1;2
Sabia, Juan;2;2;2
Torren, Miguel;2;1;2
Basualdo, Germán;3;1;2
Bogado, Mauro;3;1;2
Coudannes, Lionel;3;1;2
Hernández, Emilio ;3;1;2
Laba, Matías ;3;1;2
Mercier, Juan ;3;2;2
Ocampo, Darío;3;2;2
Ortigoza, Néstor ;3;3;2
Páez, Jonatan;3;1;2
Recalde, Carlos;3;1;2
Barrera, Leandro;4;1;2
Blandi, Nicolás;4;1;2
Escobar, Fabio;4;1;2
Niell, Franco;4;2;2
Oberman, Gustavo ;4;2;2
Rius, Ciro ;4;1;2
Romero, Andrés;4;1;2
Salazar, Hernán ;4;1;2
Strahman, Eial;4;1;2
Vargas, Gonzalo ;4;2;2
Burrai, Javier;1;1;3
Campestrini, Cristian;1;2;3
Orcellet, Catriel;1;1;3
Aguilar, Pablo;2;1;3
Bogino, Ignacio ;2;1;3
Cepeda, Christian ;2;1;3
González, Adrián;2;2;3
Krupoviesa, Juan ;2;2;3
López, Lisandro;2;2;3
Menéndez, Gonzalo;2;1;3
Nervo, Hugo ;2;1;3
Pérez, Damián ;2;1;3
Pérez, Matías ;2;1;3
Toranzo, Gustavo;2;1;3
Alvarez, Cristian;3;2;3
Arguello, Leandro;3;1;3
Choy González, Gonzalo;3;1;3
Esmerado, Gastón;3;1;3
Leiva, Cristian ;3;2;3
Marcone, Iván ;3;1;3
Mosca, Claudio ;3;1;3
Ortiz, Jorge ;3;2;3
Sachetto, Nahuel;3;1;3
Sena, Sergio;3;2;3
Silva, Facundo ;3;1;3
Alustiza, Matías;4;2;3
Franzoia, Andrés ;4;2;3
Leguizamón, Luciano;4;2;3
Obolo, Mauro Iván ;4;2;3
Sierra, Matías;4;1;3
Trípodi, Mariano ;4;1;3
Bologna, Enrique ;1;2;4
López, Sebastián ;1;1;4
Santillo, Pablo;1;1;4
Barraza, Julio Eduardo ;2;1;4
Bustamante, Marcelo;2;2;4
Delfino, Alejandro;2;1;4
Devaca, José;2;1;4
Dos Santos, Mauro ;2;1;4
Ladino, Santiago;2;1;4
López, Víctor;2;2;4
Segovia, Favio ;2;1;4
Tagliafico, Nicolás ;2;1;4
Toledo, Gustavo;2;1;4
Yeri, Nahuel ;2;1;4
Bustos, Maximiliano;3;2;4
Carrusca, Marcelo;3;2;4
Erviti, Walter ;3;3;4
González, Marcelo ;3;1;4
Pereyra, Hernán;3;1;4
Pío, Emmanuel ;3;1;4
Quinteros, Marcelo;3;2;4
Romero, Sebastián ;3;2;4
Rosada, Ariel;3;1;4
Sardella, Federico ;3;1;4
Barrales, Jerónimo;4;1;4
Bauchet, Nicolás;4;1;4
Ferreyra, Facundo ;4;1;4
García, Cristian Andrés;4;1;4
Ramírez, Rubén;4;2;4
Solignac, Luis;4;1;4
Zelaya, Emilio;4;2;4
Lucchetti, Cristian;1;2;5
Scapparoni, Maximiliano;1;1;5
Achucarro, David;2;1;5
Calvo, José María;2;1;5
Caruzzo, Matías ;2;2;5
Cellay, Christian ;2;2;5
Insaurralde, Juan ;2;3;5
Marín, Leandro ;2;1;5
Rodríguez, Clemente;2;3;5
Sauro, Gastón;2;1;5
Villafañe, Santiago ;2;1;5
Battaglia, Sebastián;3;2;5
Cañete, Marcelo ;3;2;5
Chávez, Cristian;3;1;5
Colazo, Nicolás;3;1;5
Erbes, Cristian;3;1;5
Escudero, Damián ;3;2;5
Fierro, Gonzalo;3;1;5
Giménez, Matías ;3;2;5
González, Nicolás;3;1;5
Mazzola, Jonathan;3;1;5
Medel, Gary;3;2;5
Méndez, Jesús;3;2;5
Riquelme, Juan Román;3;3;5
Araujo, Sergio;4;1;5
Gaona Lugo, Orlando;4;1;5
Mouche, Pablo;4;2;5
Palermo, Martín ;4;3;5
Viatri, Lucas;4;2;5
Bailo, Andrés ;1;1;6
Díaz, Marcos ;1;1;6
Pozo, Diego ;1;2;6
Caire, Maximiliano ;2;1;6
Candia, Salustiano ;2;2;6
Garcé, Ariel ;2;2;6
Goux, Marcelo;2;2;6
Magnano, Luciano ;2;1;6
Quilez, Ismael ;2;1;6
Quiroga, Juan ;2;2;6
Raldes, Ronald ;2;2;6
Rivarola, Germán ;2;3;6
Acosta, Lucas ;3;1;6
Bellone, Mauro ;3;1;6
Díaz, Damián ;3;1;6
Fassi, Emanuel ;3;1;6
Gómez, Ricardo;3;2;6
Laureiro, Johann ;3;1;6
Ledesma, Cristian ;3;2;6
Moreno y Fabianesi, Iván;3;2;6
Mugni, Lucas ;3;1;6
Ramírez, Alfredo ;3;1;6
Sánchez, Facundo ;3;1;6
Soto, Santiago ;3;1;6
Bauman, Jonathan;4;1;6
Comachi, Martín ;4;1;6
Curuchet, Facundo ;4;1;6
Fuertes, Esteban ;4;3;6
Higuaín, Federico ;4;2;6
Larrivey, Joaquín;4;2;6
Lessman, Germán;4;1;6
Lucero, Juan Manuel ;4;1;6
Orion, Agustín;1;2;7
Silva, Agustín;1;1;7
Taborda, César ;1;1;7
Desábato, Leandro ;2;2;7
Fernández, Federico ;2;1;7
Gissi, Dylan;2;1;7
Iberbia, Raúl ;2;1;7
Mercado, Gabriel ;2;2;7
Parrino, Elián;2;1;7
Ré, Germán ;2;2;7
Rojo, Marcos Alberto ;2;1;7
Roncaglia, Facundo ;2;2;7
Sarulyte, Matías ;2;1;7
Auzqui, Carlos ;3;1;7
Benítez, Leandro ;3;2;7
Braña, Rodrigo ;3;2;7
Cardozo, Héctor ;3;1;7
Delgado, Leonardo ;3;1;7
Francescoli, Marco;3;1;7
Hoyos, Michael ;3;1;7
Jara, Leonardo ;3;1;7
Núñez, Maximiliano;3;1;7
Pérez, Enzo;3;2;7
Peñalba, Gabriel;3;2;7
Sánchez, Matías ;3;1;7
Steffanato, Darío ;3;1;7
Verón, Juan Sebastián ;3;3;7
Fernández, Gastón ;4;2;7
González, Leandro ;4;2;7
López, Hernán Rodrigo ;4;3;7
Pereyra, Juan Pablo;4;2;7
Monetti, Fernando ;1;1;8
Pellegrino, Fernando ;1;1;8
Sessa, Gastón;1;2;8
Agüero, Ariel ;2;1;8
Benítez, Oliver;2;1;8
Casco, Milton ;2;1;8
Fontanello, Pablo ;2;2;8
Iriarte, Hugo ;2;1;8
Landa, Lucas ;2;1;8
Magallán, Lisandro;2;1;8
Masuero, Abel ;2;1;8
Moreira, Ricardo;2;1;8
Sapetti, Leandro ;2;1;8
Soto, Gonzalo ;2;1;8
Aued, Luciano ;3;2;8
Capurro, Alejandro ;3;2;8
Castro, Lucas;3;1;8
Encina, Hernán;3;2;8
Frezzotti, Alejandro ;3;1;8
Jiménez, Walter ;3;2;8
Méndez, Emiliano ;3;1;8
Mussis, Franco;3;1;8
Rinaudo, Fabián;3;2;8
Ruiz, Federico ;3;1;8
Casas, Gastón ;4;1;8
Córdoba, Jorge ;4;1;8
Curima, Agustín ;4;1;8
Graff, Claudio;4;2;8
Navarro, Álvaro ;4;1;8
Neira, Juan;4;2;8
Vizcarra, José;4;2;8
Ibáñez, Nelson;1;2;9
Moyano, Sebastián;1;1;9
Torrico, Sebastián;1;1;9
Aguilera, Emanuel;2;1;9
Ceballos, Lucas ;2;1;9
Cuevas, Cristian ;2;1;9
Curbelo, Jorge ;2;1;9
Dutari, Francisco ;2;1;9
García, Zelmar;2;1;9
Russo, Roberto ;2;1;9
Sánchez, Nicolás;2;2;9
Sigali, Leonardo;2;2;9
Camargo, Alejandro ;3;1;9
Damonte, Israel;3;1;9
Donda, Mariano ;3;1;9
Olmedo, Nicolás;3;2;9
Ramírez, David ;3;2;9
Rojas, Ariel ;3;2;9
Sánchez, Carlos;3;2;9
Sánchez, Sergio;3;1;9
Torres, Adrián ;3;1;9
Villar, Diego ;3;2;9
Carranza, César ;4;2;9
Castillo, Jairo ;4;2;9
Díaz, Gonzalo ;4;1;9
Miranda, Pablo ;4;1;9
Núñez, Fabricio;4;1;9
Piñeiro Da Silva, Jorge ;4;1;9
Salinas, Rodrigo;4;1;9
Vera, Jesús ;4;1;9
Calviño, Lucas ;1;1;10
Monzón, Gastón ;1;2;10
Vlrica, Sebastián;1;1;10
Cura, Kevin ;2;1;10
Fernández, Juan ;2;1;10
Filippetto, Ezequiel;2;1;10
Formica, Lautaro ;2;1;10
Hereñú, Jonathan ;2;1;10
Llesona, Ezequiel;2;1;10
Peña, Agustín ;2;1;10
Quintana, Carlos ;2;1;10
Quiroga, Facundo;2;2;10
Rodríguez, Diego;2;1;10
Villán, Leonardo ;2;1;10
Arce, José ;3;1;10
Brítez Ojeda, Marcos ;3;1;10
Chiviló, Franco ;3;1;10
Machín, Gastón ;3;2;10
Montiglio, César ;3;2;10
Morales, Angel ;3;2;10
Pagés, Fernando;3;1;10
Quintana, Alejandro;3;1;10
Sales, Robert ;3;1;10
Soplan, Darío ;3;1;10
Bottaro, Julián ;4;1;10
Del Valle, Yonathan;4;1;10
Martínez, Mariano ;4;1;10
Nieto, Luciano ;4;1;10
Orlando, Muriel ;4;1;10
Ortíz López, Federico ;4;1;10
Roffes, Guillermo ;4;1;10
Torres, Mariano;4;1;10
Zárate, Rolando ;4;2;10
Assmann, Fabián ;1;2;11
Gabbarini, Adrián ;1;3;11
Navarro, Hilario;1;2;11
Rodríguez, Diego;1;1;11
Barcia, Ignacio;2;1;11
Galeano, Leonel ;2;2;11
Kruspzky, Lucas;2;1;11
Mareque, Lucas ;2;2;11
Matheu, Carlos ;2;2;11
Tuzzio, Eduardo;2;2;11
Vallés, Gabriel;2;1;11
Velázquez, Julián ;2;1;11
Velázquez, Maximiliano ;2;2;11
Battión, Roberto ;3;2;11
Busse, Walter ;3;2;11
Cabrera, Nicolás ;3;2;11
Fredes, Hernán ;3;1;11
Godoy, Fernando ;3;1;11
Gracián, Leandro ;3;2;11
Mancuello, Federico ;3;1;11
Martínez, Nicolás;3;1;11
Muñoz, Ariel;3;1;11
Pellerano, Cristian ;3;2;11
Pérez, Jorge;3;1;11
Rodríguez, Patricio;3;1;11
Gómez, Martín;4;1;11
Mazzola, Nicolás ;4;1;11
Pacheco, Germán ;4;1;11
Parra, Facundo ;4;2;11
Silvera, Andrés ;4;2;11
Villafáñez, Lucas;4;1;11
Andrada, Esteban ;1;1;12
Caranta, Mauricio;1;2;12
Marchesín, Agustín;1;2;12
Arce, Carlos;2;1;12
Balbi, Luciano ;2;1;12
Erramuspe, Rodrigo ;2;1;12
Goltz, Paolo ;2;2;12
Grana, Hernán;2;1;12
Hoyos, Santiago;2;2;12
Izquierdoz, Carlos;2;1;12
Lopes, Hernán ;2;1;12
Lugo, Maximiliano;2;1;12
Aguirre, Marcos;3;2;12
Blanco, Sebastián ;3;3;12
Carrasco, Javier;3;1;12
Ledesma, Eduardo ;3;1;12
Pelletieri, Agustín;3;2;12
Peralta, Adrián;3;1;12
Pizarro, Guido ;3;1;12
Ramírez, Nicolás ;3;1;12
Regueiro, Mario ;3;2;12
Zaninovic, Mario ;3;1;12
Aparicio, Eric ;4;1;12
Cano, Germán;4;1;12
Castillejos, Gonzalo ;4;1;12
Díaz, Leandro ;4;1;12
Lagos, Diego;4;2;12
Romero, Silvio;4;1;12
Salcedo, Santiago;4;2;12
Guzmán, Nahuel ;1;1;13
Hoyos, Lucas ;1;1;13
Peratta, Sebastián;1;2;13
Alayes, Agustín ;2;2;13
Cichero, Gabriel ;2;1;13
Del Giorno, Carlos ;2;1;13
Fideleff, Ignacio ;2;1;13
Lema, Cristian ;2;1;13
Machuca, Alexis ;2;1;13
Schiavi, Rolando ;2;3;13
Vella, Luciano ;2;1;13
Bernardi, Lucas ;3;2;13
Cascio, Alejandro ;3;1;13
Díaz, Cristian ;3;1;13
Dolci, Franco ;3;1;13
Domínguez, Federico;3;1;13
Estigarribia, Marcelo ;3;2;13
Fórmica, Mauro ;3;3;13
Mateo, Diego ;3;1;13
Sperdutti, Mauricio ;3;2;13
Vangioni, Leonel ;3;2;13
Velázquez, Leandro ;3;1;13
Villalba, Hernán;3;1;13
Borghello, Iván ;4;1;13
Dening, Emanuel ;4;1;13
Falcone, Federico ;4;1;13
Rodríguez, Luis ;4;1;13
Salvatierra, Daniel ;4;1;13
Taborda, Sebastián ;4;2;13
Urruti, Maximiliano ;4;1;13
Arias, Gabriel ;1;1;14
Ibáñez, Matías ;1;1;14
Tombolini, Laureano ;1;2;14
Viola, Ezequiel ;1;1;14
Antognoli, Franco ;2;1;14
Bianchi Arce, Nicolás ;2;1;14
Díaz, Gabriel ;2;1;14
Flamenco, Diego ;2;1;14
Jerez, Pablo ;2;1;14
Mosset, Julio ;2;1;14
Reynoso, Diego ;2;1;14
Tejera, Juan ;2;1;14
Vasallo, Lucas ;2;1;14
Villanueva, Cristian ;2;1;14
Aguirre, Martín ;3;1;14
Bicciconti, Damián ;3;1;14
Brum, Roberto ;3;1;14
Casais, Eduardo ;3;1;14
Cobo, Juan Manuel ;3;1;14
Galván, Diego ;3;2;14
Litre, Marcos ;3;1;14
Longo, Sebastián ;3;1;14
Mauri, Juan ;3;1;14
Ricci, Marcelo ;3;1;14
Rolle, Martín ;3;1;14
Scalco, Braian ;3;1;14
Scalco, Edgar ;3;1;14
Scheffer, Juan Pablo ;3;1;14
Vega, David ;3;1;14
Bareiro, Néstor ;4;1;14
Beltrán, Guillermo;4;1;14
Castillón, Facundo ;4;1;14
Delorte, Alejandro ;4;2;14
Furch, Julio César ;4;1;14
Panigutti, Emerson ;4;1;14
Castaño, Maximiliano;1;1;15
Galíndez, Hernán ;1;1;15
Morales, Diego Hernán;1;1;15
Trípodi, Emanuel ;1;1;15
Agorreca, Nicolás ;2;1;15
Broggi, Ariel;2;1;15
Corvalán, Claudio ;2;1;15
Di Gregorio, Matías;2;1;15
Fontanini, Fabricio ;2;1;15
Gerlo, Danilo;2;1;15
Gioda, Leandro;2;2;15
Gómez, Facundo;2;1;15
Leyes, Damián;2;1;15
Martínez, Sebastián ;2;1;15
Quiles, Martín ;2;1;15
Roselli, Nahuel;2;1;15
Aranguiz, Charles ;3;1;15
Caneo, Miguel;3;2;15
Cerro, Franciso ;3;1;15
Coronel, Leandro ;3;1;15
Garnier, Pablo;3;1;15
Hirsig, Santiago;3;1;15
Kalinski, Enzo ;3;1;15
López, Miguel Pedro ;3;1;15
Morales, Oscar ;3;1;15
Núñez, Gervasio;3;1;15
Raymonda, Santiago ;3;1;15
Varela, Gustavo ;3;1;15
Iturbe, Juan ;4;1;15
Morales, Juan José ;4;1;15
Narvay, Enrique Rafael ;4;1;15
Romeo, Bernardo;4;2;15
Torres, Diego;4;1;15
De Olivera, Jorge;1;2;16
Dobler, Mauro ;1;1;16
Fernández, Roberto;1;2;16
Aveldaño, Lucas;2;2;16
Ayala, Roberto Fabián ;2;2;16
Cáceres, Marcos;2;2;16
Cahais, Matías ;2;2;16
García, Gonzalo ;2;1;16
Licht, Lucas Matías ;2;2;16
Lluy, Brian ;2;1;16
Martínez, Matías ;2;2;16
Pillud, Iván ;2;2;16
Sainz, Nicolás ;2;1;16
Benítez, Luis ;3;1;16
Fariña, Luis ;3;1;16
Fernández, José Luis;3;1;16
Ledesma, Damián ;3;1;16
Lucero, Adrián ;3;1;16
Mayorga, Sebastián;3;1;16
Moreno, Giovanni;3;3;16
Sosa, Mario ;3;1;16
Toranzo, Patricio ;3;3;16
Wagner, Martín ;3;1;16
Yacob, Claudio ;3;2;16
Zuculini, Bruno ;3;1;16
Bieler, Claudio ;4;3;16
Castromán, Lucas Martín ;4;2;16
Colombini, Ignacio ;4;1;16
Hauche, Gabriel ;4;2;16
Lugüercio, Pablo Ariel ;4;2;16
Viola, Valentín ;4;1;16
Carrizo, Juan Pablo ;1;3;17
Chichizola, Leandro ;1;1;17
Marinelli, Gonzalo ;1;1;17
Vega, Daniel ;1;2;17
Abecasis, Luciano;2;1;17
Arano, Carlos ;2;2;17
Coronel, Maximiliano ;2;1;17
Díaz, Juan Manuel ;2;1;17
Ferrari, Paulo Andrés;2;2;17
Ferrero, Alexis Javier ;2;2;17
Maidana, Jonatan ;2;2;17
Orban, Lucas;2;1;17
Pezzella, Germán ;2;1;17
Román, Adalberto ;2;2;17
Abelairas, Matías ;3;2;17
Acevedo, Walter ;3;2;17
Affranchino, Facundo ;3;1;17
Almeyda, Matías Jesús ;3;2;17
Ballón, Josepmir ;3;1;17
Buonanotte, Diego ;3;3;17
Cirigliano, Ezequiel ;3;1;17
Díaz, Mauro;3;2;17
Lamela, Erik ;3;1;17
Lanzini, Manuel ;3;1;17
Pereyra, Roberto;3;1;17
Rojas, Rodrigo;3;2;17
Bou, Gustavo ;4;1;17
Caruso, Leandro ;4;2;17
Funes Mori, Rogelio;4;2;17
Ortega, Ariel;4;3;17
Pavone, Mariano ;4;3;17
Villalva, Daniel ;4;1;17
Albil, Damián;1;1;18
Centeno, Bruno;1;1;18
Mastrolía, Ezequiel;1;1;18
Migliore, Pablo ;1;2;18
Aguirre, Gastón ;2;2;18
Benítez, Nelson;2;1;18
Bottinelli, Jonathan ;2;2;18
Herner, Diego;2;1;18
Kannemann, Walter ;2;1;18
Luna, Sebastián ;2;1;18
Martínez, Damián ;2;1;18
Meza, Fernando ;2;1;18
Palomino, José Luis ;2;1;18
Placente, Diego ;2;2;18
San Román, José;2;1;18
Torres, Aureliano ;2;2;18
Tula, Cristian;2;2;18
Voboril, Germán ;2;1;18
Alvarado, Pablo;3;1;18
Bazán, Gonzalo ;3;1;18
Bertochi, Miguel ;3;1;18
Cabrera, Rafael ;3;1;18
González, Sebastián ;3;1;18
Juárez, Axel ;3;1;18
López Méndez, Leonardo ;3;1;18
Pereyra, Guillermo ;3;2;18
Prim, Santiago ;3;1;18
Reynoso, Salvador ;3;1;18
Rivero, Diego Alejandro ;3;2;18
Romagnoli, Leandro ;3;3;18
Rusculleda, Sebastián ;3;1;18
Torres, Juan Manuel ;3;2;18
Alfaro, Emiliano ;4;2;18
Balsas, Sebastián;4;2;18
Benítez, Nahuel ;4;1;18
Bordagaray, Fabián;4;2;18
De Vico, Nahuel ;4;1;18
Lamanna, César;4;1;18
Menseguez, Juan Carlos ;4;2;18
Rovira, Gonzalo ;4;1;18
Ardente, Luis ;1;1;19
Bouilloud, Germán;1;1;19
Islas, Daniel ;1;2;19
Angulo Villegas, Juan;2;1;19
Blengio, Juan Carlos;2;1;19
Celaya, Juan Gabriel;2;1;19
De Miranda, Pablo;2;1;19
Echeverría, Mariano;2;2;19
Mustafá, Daniel;2;1;19
Paparatto, Norberto;2;1;19
Pérez, Claudio ;2;1;19
Trombetta, Cristian ;2;1;19
Vera, Renzo ;2;1;19
Anzorena, Horacio ;3;1;19
Blanco, Jonathan ;3;1;19
Botta, Rubén ;3;1;19
Castaño, Diego;3;2;19
Díaz, Gastón ;3;1;19
Galmarini, Martín;3;2;19
González, Esteban;3;1;19
Leone, Ramiro ;3;1;19
Maldonado, Juan Miguel;3;1;19
Martínez, Román;3;2;19
Morales, Diego;3;2;19
Pasini, Mariano Luis;3;1;19
Rodríguez, Ribair ;3;1;19
Sánchez, Walter ;3;1;19
Altobelli, Leonel;4;1;19
Caballero, Pablo;4;1;19
Lanaro, Franco ;4;1;19
Simón, Lucas ;4;1;19
Stracqualursi, Denis ;4;1;19
Telechea, Fernando;4;1;19
Barovero, Marcelo;1;2;20
Cacace, Ezequiel ;1;1;20
Montoya, Germán;1;3;20
Bíttolo, Mariano ;2;1;20
Díaz, Gastón ;2;1;20
Domínguez, Sebastián ;2;2;20
Iurino, Juan Manuel ;2;1;20
Olivera, Emanuel ;2;1;20
Ortiz, Fernando;2;2;20
Papa, Emiliano;2;2;20
Tobio, Fernando ;2;1;20
Alvarez, Ricardo;3;1;20
Bella, Iván ;3;1;20
Canteros, Héctor ;3;1;20
Cigno, Luciano ;3;1;20
Cubero, Fabián;3;2;20
Despósito, Pablo ;3;1;20
Fernández, Augusto ;3;2;20
Moralez, Maximiliano ;3;3;20
Razzotti, Franco ;3;1;20
Somoza, Leandro ;3;2;20
Zapata, Víctor;3;2;20
Berón, Eduardo ;4;1;20
Conti, Matías ;4;1;20
Cristaldo, Jonathan ;4;2;20
Martínez, Juan Manuel ;4;2;20
Piris, Leonardo ;4;1;20
Silva, Santiago;4;3;20
